2026-03-22 17:52:36 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:52:44 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:52:54 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:52:54 | INFO | canberbyte.docflow | User authenticated: admin
2026-03-22 17:52:54 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:53:07 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:53:07 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:53:14 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:53:14 | INFO | canberbyte.docflow | User authenticated: admin
2026-03-22 17:53:14 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:56:33 | INFO | canberbyte.docflow | Logger initialized for Canberbyte DocFlow AI
2026-03-22 17:56:33 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:56:42 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:56:42 | INFO | canberbyte.docflow | User authenticated: admin
2026-03-22 17:56:42 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:58:08 | INFO | canberbyte.docflow | Logger initialized for Canberbyte DocFlow AI
2026-03-22 17:58:08 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:58:12 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:58:18 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 17:58:18 | INFO | canberbyte.docflow | User authenticated: admin
2026-03-22 17:58:18 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 18:02:28 | INFO | canberbyte.docflow | Logger initialized for Canberbyte DocFlow AI
2026-03-22 18:02:28 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 18:02:33 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 18:02:39 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 18:02:40 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 18:02:48 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 18:02:55 | INFO | canberbyte.docflow | Auth users loaded: admin, user
2026-03-22 18:02:55 | INFO | canberbyte.docflow | User authenticated: admin
2026-03-22 18:02:55 | INFO | canberbyte.docflow | Auth users loaded: admin, user
